,Technology,O2_substitution,Ratio_NG,Bio_switch,Direct_CO2,Indirect_CO2,Energy_use,Product_cost,ROI
108,1,60,92,1,186.54182004561088,37.05212097890781,3.4736363417726093,6.1894501967123405,-4.9335196508211965
109,1,0,78,0,185.4039501516006,114.63102482692294,3.907875846372374,5.2519229542689905,4.57308135629414
110,1,60,96,0,214.18663603777338,19.56303547244392,3.668069151083232,5.196477461566061,1.412159478466208
111,1,60,84,1,170.62756689381774,74.23771541509942,3.4798929100827847,6.158502154061907,-4.73574347692633
112,1,0,98,0,232.3170643248018,10.392981284401303,3.897367981650485,5.082369826412476,9.257325833230068
113,1,60,84,0,187.87282921453718,78.444009984621,3.6770629680291087,5.271285103518012,0.9340946983937001
114,1,60,98,0,218.57227050831293,9.778091520242581,3.6667843200909647,5.184129508655712,1.4910701517397102
115,1,60,89,1,180.57397511368845,50.979144262394904,3.47585074516329,6.1777659869982005,-4.85885068650738
116,5,2,92,0,198.08239191048557,22.853219177225345,3.4279828765838016,5.144172124672095,9.329741216482429
117,1,60,85,1,172.6168485377919,69.58092866387521,3.4790464331937607,6.162332207481288,-4.760219768356269
118,1,1,97,0,228.52452302890214,15.493068668669325,3.873267167167329,5.085285565228751,8.695192804127231
119,5,3,96,0,198.4992327589496,21.899065499872407,3.4276798173713314,5.25266961119506,5.625655421857265
120,1,60,86,1,174.60613018176602,64.92676664719059,3.4782196418137814,6.166174013644512,-4.784771166723863
121,1,60,97,1,196.48822826548155,13.881000219202441,3.470250054800608,6.209105605273686,-5.059129258689207
122,1,0,96,0,227.6257529074816,20.79051597684875,3.898221745659138,5.0992147423463985,8.791951319498311
123,1,60,95,1,192.50966497753333,23.14374530292125,3.471561795438184,6.201217904605419,-5.008722217551954
124,1,60,96,1,194.4989466215075,18.51146183006353,3.4708990931369095,6.205157676074234,-5.033899671774944
125,1,60,93,1,188.53110168958503,32.414012913593815,3.4729299550279125,6.193363887470099,-4.958530433978639
126,7,14,82,1,174.6506052637778,23.709460399759877,3.1698517708374623,5.9860497567752375,-16.46873626132997
127,5,30,75,0,189.84923889707244,27.19250061884417,3.3251699126304017,5.05626348787903,12.33092717207724
128,4,44,76,0,209.05536426838933,29.524058004235368,3.6584158831335123,5.190528588904612,12.499985636883238
129,7,31,83,1,174.77163309908377,23.423264219704357,3.1697786906012926,5.986118969974343,-16.470740938007836
