,Technology,O2_substitution,Ratio_NG,Direct_CO2,Indirect_CO2,Energy_use,Product_cost,ROI,Payback
0,5,55,84,192.57128585996918,24.45591823638311,3.3493974975916,5.0683818824606846,11.917207235679738,2.311688441540965
1,5,33,94,198.29692524777238,22.366158961755307,3.4278569713124987,5.179289617219923,8.130835974915081,2.2621866473821663
2,9,24,87,40.000601995839354,608.4151147380898,4.563113360535673,7.916023188976672,-7.866245508288087,16.050076267606766
3,9,38,89,40.000601995839354,608.4151147380898,4.563113360535673,8.286724067305123,-9.033322341191425,15.332087189978976
4,9,21,91,40.000601995839354,608.4151147380898,4.563113360535673,8.82221486997039,-10.719206962888267,14.401460153922297
5,9,13,76,40.000601995839354,608.4151147380898,4.563113360535673,6.981820772677947,-4.925097911819376,18.197656464688507
6,5,41,76,190.00703950589374,26.833938823895018,3.3250750281782953,5.055542339793202,12.355547045459943,2.317559428347952
7,2,43,89,240.27036847209808,28.705869991808115,4.165471352072155,5.420731183698598,-0.3679967316309794,0.6574685737447487
8,1,0,77,183.05829444294042,119.8620322126343,3.9085445286728593,5.260480899281258,4.336650998656854,2.7523318499223555
9,4,31,89,214.08089830863938,25.57693016270103,3.7114349746962905,5.234158425710301,10.09665738024513,1.3873422858832496
10,2,25,82,239.18924618639423,31.161161362966652,4.166111790918368,5.396637543917829,2.3361455232344794,0.6604038850110823
11,5,20,82,192.30815393386095,25.05357373582519,3.3495538798983677,5.065871268271683,12.002919178428709,2.3128340999074206
12,4,46,82,211.44329362877247,27.54646664486252,3.6828428231718373,5.200877911392557,11.92989826105567,1.396219914928879
13,7,56,91,196.59750667465406,22.944426610676953,3.4042546003884864,5.123139102460857,8.524428137267423,2.6956805727500774
14,2,9,97,241.31486953162943,26.334498848401545,4.164858241785244,5.675704415315981,-28.9848390082605,0.62793270036801
15,7,59,98,197.32284367410196,21.303130861558422,3.403869822444661,5.466615348690115,-1.4239462930399442,2.5263066210263307
16,5,21,97,198.602137624531,21.67329255223448,3.427678332989256,5.32760738117357,3.067292660158335,2.1992085708874214
17,7,45,93,196.8158877067458,22.45023204334035,3.4041384457021455,5.148930250217547,7.777418707393564,2.682177827018826
18,4,3,95,214.79358062236668,23.95884142735359,3.7110161993455306,5.332222553534962,4.694842782285302,1.3618278761050575
19,2,49,92,240.6833437551465,27.768188550699083,4.165228282604862,5.452818319931445,-3.9692866037459416,0.6535996966876401
20,9,27,79,40.000601995839354,608.4151147380898,4.563113360535673,7.139484328297528,-5.421469768251145,17.795791695436943
21,9,50,75,40.000601995839354,608.4151147380898,4.563113360535673,6.937684547376912,-4.786143922088059,18.31342648279635
22,2,56,84,239.51652470145422,30.417808751720287,4.165917285561691,5.399760198381763,1.9856753593198178,0.6600219767292761
23,5,12,77,190.16074139760283,26.484711200486238,3.324982764843653,5.055004326182738,12.373914738903343,2.3178060905533737
24,4,21,85,211.8721593949071,26.572400530190414,3.682588116955738,5.205770535708169,11.660390439626232,1.3949076827705729
25,7,38,89,196.36931076471532,23.460870106616955,3.404376260036263,5.107981770902225,8.963441930404464,2.703679685912558
26,2,26,80,238.8456037455812,31.94176071393897,4.166316614861604,5.395280387600661,2.488465545327624,0.6605700063690165
27,4,32,98,217.29009754641103,23.458811442010077,3.7483100891037844,5.644464313920975,-12.504842125549976,1.2864939719949602
28,9,55,83,40.000601995839354,608.4151147380898,4.563113360535673,7.436351807781169,-6.3560970594246635,17.085363791728525
29,5,32,79,191.8884751656376,26.006918820992766,3.3498042177039604,5.064659856216636,12.04427658059848,2.3133873048983764
30,4,21,87,213.8214928687771,26.165985207308886,3.7115881190802265,5.223958524930034,10.658513934265589,1.3900511040326948
31,5,53,86,192.82217909183993,23.886115472291056,3.3492487999190717,5.072832826876439,11.765252747963777,2.3096601474672216
32,4,20,79,210.98185577913387,28.594671937509467,3.6831180702118176,5.199545960824573,12.00326810772136,1.3965775799870845
33,7,20,96,197.12313408643175,21.747249925852802,3.4039173796986955,5.241968478152289,5.082678858602653,2.6345726052263356
34,9,4,77,40.000601995839354,608.4151147380898,4.563113360535673,7.029800266945896,-5.076151657542975,18.073454592532475
35,5,56,95,198.40080454793238,22.13033276623121,3.4277961078129877,5.208344408409585,7.138910329811339,2.2495670209677527
36,4,4,90,214.20627760457293,25.292238555573718,3.711361092393971,5.241397452451262,9.697899126928835,1.3854261923228042
